SMILES,Name,MolWeight
OC1(O)C(C2COC3(CCCCC3)O2)OC2OC3(CCCCC3)OC21,8015-2061,356.18
CCOc1ccc2c(c1)-c1c(ssc1=S)C(C)(C)N2C(=O)CSc1nc(O)cc(CSc2ccc(Cl)cc2)n1,4157-0370,633.01
Cc1c(S(=O)(=O)N2CCC(c3nnnn3C3CCCC3)(N(C)C)C2)cnn1C(F)F,SA21-1347,444.19
O=C(c1cnc2sc(N3CCOCC3)nn2c1=O)N1CCN(Cc2ccc3c(c2)OCO3)CC1,G205-0536,484.15
CSc1nsc(N/N=C/c2ccc(F)s2)c1C#N,Y505-3618,297.98
Ic1ccccc1-c1nc(-c2ccccc2)no1,Y513-2386,347.98
BrC12CC3CC(C1)CC(Br)(C3)C2,0302-0252,291.95
CC(C)(C#CCCCCC#CC(C)(C)N1CCCC1)N1CCCC1,3220-0051,328.29
CSCCC(C(=O)O)N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,3285-2567,414.9
O=S1(=O)CCC(S(=O)(=O)N2CCOCC2)C1,4912-1447,269.04
Cc1nnc(SCc2nnc(CSc3nnc(C)n3N)n2N)n1N,8016-0721,368.11
CN(C)c1nc2c(c(N3CCOCC3)n1)CNCC2,8020-0854,263.17
CC(C)C12CN3CC(C(C)C)(CN(C1)C3OCC(O)C(O)C(O)CO)C2=O,8014-8868,386.24
Brc1c[nH]nc1-c1nn2cnnc2s1,Y501-1981,269.93
c1cc2nsnc2c2c1Nc1nc3nonc3nc1N2,5386-0664,284.02
O=C(NC1CCCC1)NC1CCN(C(=O)C2CCCC2)C1,Z603-6522,293.21
c1coc(C2(c3ccc(C4(c5ccco5)CCCCC4)o3)CCCCC2)c1,Y501-1350,364.2
CC(=O)C(C)(C)C12C(=O)NC(=O)C1C(=O)NC2=O,8020-7818,252.07
O=P1(Nc2cccnc2)COc2ccccc2OC1,8018-0021,276.07
C[N+]1(CC2COC(C3CC=CCC3)O2)CCCCC1,5212-2910,266.21
C1=CC2CC1CC2CN1CCN(CC2CC3C=CC2C3)CC1,Y511-5078,298.24
Nc1nn(CC(F)F)cc1I,Y507-6057,272.96
COc1ccc(-c2cc(=O)oc3cc(OCC(=O)c4cc(OC)c(OC)c(OC)c4)ccc23)cc1,Y040-7470,476.15
Cc1c(I)nc(I)n1C,Y507-4201,347.86
c1sc2[n+](c1C13CC4CC(CC(C4)C1)C3)CCS2,Y510-9723,278.1
CCCCN1C(=O)NC2C1NC(=O)N2CCCC,8012-7915,254.17
c1ccc2c(c1)oc1ccc(C3OCC4(CO3)COC(c3ccc5oc6ccccc6c5c3)OC4)cc12,8018-5532,492.16
Nc1nc(SCCSc2n[nH]c(N)n2)n[nH]1,Y021-2667,258.05
CS(=O)(=O)NCCCCCCNS(C)(=O)=O,Y500-7825,272.09
CC1(C)CC(NCN(C2CC(C)(C)NC(C)(C)C2)C2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,8012-7916,463.46
CN1c2ccccc2-c2ccccc2C12C=Cc1c(ccc3ccccc13)O2,0212-0015,361.15
CN(C)/N=C/c1ccc(C2(O)C(=O)NC(=O)NC2=O)o1,4686-0106,280.08
Fc1ccc(C2=Nn3cnnc3SC2)c(F)c1,Y502-8739,252.03
S=c1n(CN2CCCCC2)cnn1CN1CCCCC1,4030-0007,295.18
CC(=O)OC1C2COC(O2)C(OC(C)=O)C1OC(C)=O,8010-3895,288.08
